ticket_id,status,product_area,response,justification,request_type,confidence_score,source_documents,risk_level,pii_detected,language,actions_taken
T0011,replied,devplatform_assessment,"Based on the documented process, here's how this works:
Sending and managing test invites
A test invite is the link a candidate uses to start an assessment.
Sending an invite
1. From the workspace dashboard, open the Tests tab.
2. Choose the test you want to send.
3. Click Invite candidate and enter the candidate's email.
4. The candidate receives an email from [email_redacted] with a
one-time-use invite link.
Invite links are valid for 7 days by default. Workspace admins can change
this in Settings > Tests > Invite link lifetime.
Resending an invite
If a candidate does not receive the email, you can resend the s
If this doesn't fully address your question, reply to this message and I'll route it to a human teammate.",state=RESOLVED | reason=grounded_reply | risk=low | retrieval_top1=1.130 | domain=devplatform | decision=heuristic_fallback,product_issue,0.6750,data/devplatform/tests/test-invites.md,low,false,en,[]
T0012,replied,devplatform_assessment,"Here's what our documentation says:
Adding extra time (time accommodation) for candidates
You can grant extra time to one or more candidates for a specific test.
Time is added as a percentage of the base test duration; the
configured percentage must be in multiples of 5 (e.g. 25%, 50%, 75%).
Steps to add time accommodation
1. Log in to your DevPlatform for Work account.
2. Open the Tests tab and select the test.
3. Open the Candidates tab.
4. Tick the checkbox next to the candidate(s) needing accommodation.
5. Click More > Add Time Accommodation.
6. Enter the accommodation percentage (multiples of 5).
7.
If this doesn't fully address your question, reply to this message and I'll route it to a human teammate.",state=RESOLVED | reason=grounded_reply | risk=low | retrieval_top1=1.241 | domain=devplatform | decision=heuristic_fallback,product_issue,0.6543,data/devplatform/candidates/time-accommodation.md,low,false,en,[]
T0013,escalated,visa_general,"I don't have enough detail in this ticket to help safely. Please share more context (the product, what you tried, and what happened) and I'll route it to the right team.","state=ESCALATED | reason=insufficient_signal | risk=low | retrieval_top1=1.098 | decision=heuristic_fallback | reasons=insufficient_signal,scope_ambiguous",invalid,0.6000,,low,false,en,"[{""action"": ""escalate_to_human"", ""parameters"": {""priority"": ""normal"", ""queue"": ""tier1_general"", ""reason"": ""Ticket has insufficient content to classify confidently.""}}]"
T0014,replied,devplatform_general,"Here's what our documentation says:
Removing a user (interviewer / recruiter) from your workspace
Workspace owners and admins can remove members from a DevPlatform for
Work workspace.
To remove a member
1. Open Settings > Members.
2. Locate the user you want to remove.
3. Click the three-dot menu at the end of the row, then **Remove
from workspace**.
If the three-dot menu does not show a Remove option:
- Verify your own role: only owners and admins can remove other
members. Standard recruiters or interviewers see a limited menu.
- Verify the target's role: workspace owners cannot be removed; a new
ow
If this doesn't fully address your question, reply to this message and I'll route it to a human teammate.",state=RESOLVED | reason=grounded_reply | risk=low | retrieval_top1=1.267 | domain=devplatform | decision=heuristic_fallback,product_issue,0.6569,data/devplatform/workspace/remove-user.md,low,false,en,[]
T0015,replied,devplatform_general,"Thanks for reaching out — that's outside the scope of what I can help with here (DevPlatform, Claude, or Visa support). If you have a support question about one of those products, share the details and I'll route it to the right team.",state=RESOLVED | reason=harmless_out_of_scope:harmless_out_of_scope | risk=low | retrieval_top1=1.260 | domain=devplatform | decision=heuristic_fallback | reasons=scope_harmless,invalid,0.3000,,low,false,en,[]
T0016,replied,claude_general,"Here's what our documentation says:
Claude on AWS Bedrock — common integration issues
Claude is available on AWS Bedrock as a managed model. Common reasons
for failing requests:
If this doesn't fully address your question, reply to this message and I'll route it to a human teammate.",state=RESOLVED | reason=grounded_reply | risk=low | retrieval_top1=1.260 | domain=claude | decision=heuristic_fallback,product_issue,0.6255,data/claude/api/projects-and-bedrock.md,low,false,en,[]
T0017,escalated,visa_general,This looks like a situation that needs a human review. I'm escalating to the appropriate team and they'll be in touch.,"state=ESCALATED | reason=critical_risk_level | risk=critical | retrieval_top1=1.166 | domain=visa | decision=heuristic_fallback | reasons=risk_pattern_critical_account_takeover,scope_ambiguous",invalid,0.4663,,critical,false,en,"[{""action"": ""escalate_to_human"", ""parameters"": {""priority"": ""critical"", ""queue"": ""tier3_fraud"", ""reason"": ""Critical-risk pattern detected (fraud/legal/safety).""}}]"
T0018,replied,visa_general,"Thanks for reaching out — that's outside the scope of what I can help with here (DevPlatform, Claude, or Visa support). If you have a support question about one of those products, share the details and I'll route it to the right team.",state=RESOLVED | reason=harmless_out_of_scope:harmless_out_of_scope | risk=low | retrieval_top1=0.926 | domain=devplatform | decision=heuristic_fallback | reasons=scope_harmless,invalid,0.3000,,low,false,en,[]
T0019,replied,visa_general,"From our help center on this topic:
ATM kept my card / I forgot my PIN
ATMs commonly capture (retain) a Visa card after three consecutive
incorrect PIN attempts. The captured card stays in the ATM until the
operating bank retrieves and disposes of it during the next
maintenance cycle (usually within 1–2 business days).
Immediate steps
1. Note the ATM details — bank name, branch, ATM ID, date/time.
2. Call your card issuer using the number on the back of your card
to confirm the PIN block and block the card from further use.
3. If you cannot reach the issuer, call Visa Global Customer Assistance
([phone_redacted]
If this doesn't fully address your question, reply to this message and I'll route it to a human teammate.",state=RESOLVED | reason=grounded_reply | risk=low | retrieval_top1=0.890 | domain=devplatform | decision=heuristic_fallback,product_issue,0.6323,data/visa/cards/atm-pin-blocked.md,low,false,en,[]
T0020,replied,visa_billing,"Here's the relevant guidance from our documentation:
Disputing a Visa transaction
If you see a charge on your statement that you do not recognise or believe
is incorrect, you can open a dispute. Disputes are handled by your card-
issuing bank in coordination with Visa.
Before you call
Have ready:
- The transaction date and amount.
- The merchant name as shown on the statement.
- The reason for the dispute (unauthorised, duplicate, service not
received, or service not as described).
Steps
If this doesn't fully address your question, reply to this message and I'll route it to a human teammate.",state=RESOLVED | reason=grounded_reply | risk=high | retrieval_top1=1.266 | domain=visa | decision=heuristic_fallback | reasons=risk_pattern_high_dispute,product_issue,0.6022,data/visa/disputes/dispute-process.md,high,false,en,[]
T0021,replied,claude_bug_report,"Here's the relevant guidance from our documentation:
Reporting a security vulnerability in Claude
runs a public security disclosure programme. To report a
suspected vulnerability:
1. Visit the security disclosure page on.com.
2. Submit a detailed report including: affected product, version,
reproduction steps, observed vs expected behavior, and impact.
3. Do not publish the vulnerability before our security team has
acknowledged and addressed it (responsible disclosure).
We aim to acknowledge submissions within 5 business days. Some
vulnerabilities are eligible for a bounty under our Bug Bounty
programme; the s
If this doesn't fully address your question, reply to this message and I'll route it to a human teammate.",state=RESOLVED | reason=grounded_reply | risk=medium | retrieval_top1=1.291 | domain=claude | decision=heuristic_fallback | reasons=risk_pattern_medium_bug,bug,0.5874,data/claude/security/report-vulnerability.md,medium,false,en,[]
T0022,replied,claude_general,"Here's the relevant guidance from our documentation:
Opting your website out of crawling by 
web crawler identifies itself by its user-agent. To opt your
website out of crawling, add a robots.txt rule that disallows the
crawler.
Robots.txt example
```
User-agent: -ai
Disallow: /
User-agent: ClaudeBot
Disallow: /
```
Use both user-agent names — crawler has used both
identifiers historically.
What this does NOT do
- It does not remove content that was previously crawled. Submit a
separate removal request through the Privacy contact form for past
data.
- It does not prevent Claude users f
If this doesn't fully address your question, reply to this message and I'll route it to a human teammate.",state=RESOLVED | reason=grounded_reply | risk=low | retrieval_top1=1.278 | domain=claude | decision=heuristic_fallback,product_issue,0.6421,data/claude/privacy/website-crawling-opt-out.md,low,false,en,[]
T0023,replied,visa_general,"From our help center on this topic:
Most issuers do not return ATM-captured cards. Instead, they
cancel the card and issue a replacement to your registered address.
You will need to set a new PIN once you receive the new card.
If you are stranded abroad
If you have no other payment method and you are traveling, prioritize
the GCAS call — they can arrange emergency cash to a Western Union or
similar pickup point within hours.
If this doesn't fully address your question, reply to this message and I'll route it to a human teammate.",state=RESOLVED | reason=grounded_reply | risk=low | retrieval_top1=1.202 | domain=visa | decision=heuristic_fallback | reasons=conversation_pressure_tactic,product_issue,0.5540,data/visa/cards/atm-pin-blocked.md,low,false,en,[]
T0024,replied,claude_general,"Based on the documented process, here's how this works:
Backups and operational logs may retain data for a short period after
deletion (typically 30 days) before being purged.
Model training opt-out
You can opt your account out of model training in **Settings > Privacy
& data controls**. New conversations after the opt-out are not used to
improve models. Past conversations remain subject to the prior settings.
If this doesn't fully address your question, reply to this message and I'll route it to a human teammate.",state=RESOLVED | reason=grounded_reply | risk=low | retrieval_top1=1.265 | domain=claude | decision=heuristic_fallback,product_issue,0.6699,data/claude/privacy/data-retention.md,low,false,en,[]
T0025,escalated,claude_general,"I'm not able to help with that request. If you have a support question about DevPlatform, Claude, or Visa, please send it as a normal request and a teammate will respond.",state=ESCALATED | reason=suspicious_out_of_scope:suspicious_capability_request | risk=low | retrieval_top1=1.075 | decision=heuristic_fallback | reasons=scope_suspicious,invalid,0.5849,,low,false,en,"[{""action"": ""escalate_to_human"", ""parameters"": {""priority"": ""high"", ""queue"": ""trust_and_safety"", ""reason"": ""Out-of-scope capability request flagged for review.""}}]"
T0026,escalated,safety_review,"I cannot follow instructions that try to change how I handle support tickets. I'm flagging this for review by our team. If you have a legitimate support question, please send it as a normal request and a human teammate will respond shortly.","state=ESCALATED | reason=critical_prompt_injection_detected | risk=critical | injection_score=1.00 | retrieval_top1=1.258 | domain=visa | decision=heuristic_fallback | reasons=prompt_injection_critical,risk_injection_critical_1.00",invalid,0.3715,,critical,false,fr,"[{""action"": ""escalate_to_human"", ""parameters"": {""priority"": ""high"", ""queue"": ""trust_and_safety"", ""reason"": ""Suspected prompt injection / adversarial input.""}}, {""action"": ""create_internal_note"", ""parameters"": {""note"": ""Ticket flagged by automated safety layer for prompt-injection patterns."", ""tags"": [""suspected_injection""]}}]"
T0027,replied,claude_general,"Here's what our documentation says:
Claude on AWS Bedrock — common integration issues
Claude is available on AWS Bedrock as a managed model. Common reasons
for failing requests:
If this doesn't fully address your question, reply to this message and I'll route it to a human teammate.",state=RESOLVED | reason=grounded_reply | risk=low | retrieval_top1=1.279 | domain=claude | decision=heuristic_fallback,product_issue,0.6420,data/claude/api/projects-and-bedrock.md,low,false,en,[]
T0028,replied,devplatform_general,"Here's what our documentation says:
Removing a user (interviewer / recruiter) from your workspace
Workspace owners and admins can remove members from a DevPlatform for
Work workspace.
To remove a member
1. Open Settings > Members.
2. Locate the user you want to remove.
3. Click the three-dot menu at the end of the row, then **Remove
from workspace**.
If the three-dot menu does not show a Remove option:
- Verify your own role: only owners and admins can remove other
members. Standard recruiters or interviewers see a limited menu.
- Verify the target's role: workspace owners cannot be removed; a new
ow
If this doesn't fully address your question, reply to this message and I'll route it to a human teammate.",state=RESOLVED | reason=grounded_reply | risk=low | retrieval_top1=1.258 | domain=devplatform | decision=heuristic_fallback,product_issue,0.6186,data/devplatform/workspace/remove-user.md,low,false,en,[]
T0029,replied,claude_general,"Here's what our documentation says:
Setting up Claude for an LTI-based classroom
Claude offers LTI 1.3 integration so professors can provision Claude
access to students from inside a learning-management system (LMS) like
Canvas, Moodle, or Blackboard.
To set up an LTI integration
1. Request LTI access from your Claude account team or via the
Education contact form on claude.com.
2. Once approved, you'll receive an LTI issuer, client ID, and
the JWKS/launch URLs to enter into your LMS.
3. In your LMS, add Claude as an external tool using those values.
4. Configure roster sync (recommended): students are then
If this doesn't fully address your question, reply to this message and I'll route it to a human teammate.",state=RESOLVED | reason=grounded_reply | risk=low | retrieval_top1=1.271 | domain=claude | decision=heuristic_fallback,product_issue,0.6237,data/claude/edu/lti-setup.md,low,false,en,[]
T0030,replied,visa_general,"Here's what our documentation says:
""The merchant says I have to spend a minimum amount on my Visa card""
In many markets, **Visa's network rules prohibit merchants from
imposing a minimum-purchase amount for credit-card transactions**.
However, US-based merchants may set a minimum of up to $10 for
credit card transactions under federal law — and that minimum
cannot apply to debit cards.
US Virgin Islands and other US territories
In US territories (including the US Virgin Islands), merchants are
allowed to set a minimum of up to $10 for credit-card transactions.
They are not allowed to:
- Set a minimum hi
If this doesn't fully address your question, reply to this message and I'll route it to a human teammate.",state=RESOLVED | reason=grounded_reply | risk=low | retrieval_top1=1.311 | domain=visa | decision=heuristic_fallback,product_issue,0.6608,data/visa/cards/minimum-spend-merchant.md,low,false,en,[]
T0031,escalated,safety_review,"I cannot follow instructions that try to change how I handle support tickets. I'm flagging this for review by our team. If you have a legitimate support question, please send it as a normal request and a human teammate will respond shortly.","state=ESCALATED | reason=critical_prompt_injection_detected | risk=critical | injection_score=0.96 | retrieval_top1=1.106 | domain=devplatform | decision=heuristic_fallback | reasons=prompt_injection_critical,risk_injection_critical_0.96,scope_ambiguous",invalid,0.3601,,critical,false,en,"[{""action"": ""escalate_to_human"", ""parameters"": {""priority"": ""high"", ""queue"": ""trust_and_safety"", ""reason"": ""Suspected prompt injection / adversarial input.""}}, {""action"": ""create_internal_note"", ""parameters"": {""note"": ""Ticket flagged by automated safety layer for prompt-injection patterns."", ""tags"": [""suspected_injection""]}}]"
T0032,replied,visa_general,"From our help center on this topic:
The exact perks per tier vary by market and issuer. The complimentary
insurance benefits that some travel policies require typically only
apply at the Signature and Infinite tiers.
How to check your tier
1. Look at the front of your card — the tier name (e.g. ""Platinum"",
""Signature"") is usually printed below the Visa logo.
2. Check your card's terms-and-conditions document from your issuing
bank.
3. Call the customer-service number on the back of the card if you
cannot find it.
Upgrading
Tier upgrades are handled by your issuing bank, not Visa. Contact your
bank to r
If this doesn't fully address your question, reply to this message and I'll route it to a human teammate.",state=RESOLVED | reason=grounded_reply | risk=low | retrieval_top1=1.089 | decision=heuristic_fallback | reasons=scope_ambiguous,invalid,0.6014,data/visa/cards/card-tiers.md,low,false,en,[]
T0033,escalated,devplatform_billing,This looks like a situation that needs a human review. I'm escalating to the appropriate team and they'll be in touch.,state=ESCALATED | reason=critical_risk_level | risk=critical | retrieval_top1=1.006 | domain=devplatform | decision=heuristic_fallback | reasons=risk_pattern_critical_fraud,product_issue,0.5625,,critical,false,en,"[{""action"": ""escalate_to_human"", ""parameters"": {""priority"": ""critical"", ""queue"": ""tier3_fraud"", ""reason"": ""Critical-risk pattern detected (fraud/legal/safety).""}}]"
T0034,escalated,visa_billing,This looks like a situation that needs a human review. I'm escalating to the appropriate team and they'll be in touch.,"state=ESCALATED | reason=high_pii_financial:pii=account_id,address,ssn | risk=high | retrieval_top1=1.208 | domain=visa | decision=heuristic_fallback | reasons=pii_account_id,pii_address,pii_ssn,risk_pattern_high_billing,risk_pii_high_value,conversation_pressure_tactic",product_issue,0.4902,,high,true,en,"[{""action"": ""escalate_to_human"", ""parameters"": {""priority"": ""high"", ""queue"": ""tier3_fraud"", ""reason"": ""Multiple high-value PII categories + financial/billing intent.""}}, {""action"": ""create_internal_note"", ""parameters"": {""note"": ""Ticket contains 3 PII categories (account_id, address, ssn) plus a financial/billing claim. Identity verification required."", ""tags"": [""pii_detected"", ""fraud_review""]}}]"
T0035,replied,visa_assessment,"From our help center on this topic:
ATM kept my card / I forgot my PIN
ATMs commonly capture (retain) a Visa card after three consecutive
incorrect PIN attempts. The captured card stays in the ATM until the
operating bank retrieves and disposes of it during the next
maintenance cycle (usually within 1–2 business days).
Immediate steps
1. Note the ATM details — bank name, branch, ATM ID, date/time.
2. Call your card issuer using the number on the back of your card
to confirm the PIN block and block the card from further use.
3. If you cannot reach the issuer, call Visa Global Customer Assistance
([phone_redacted]
If this doesn't fully address your question, reply to this message and I'll route it to a human teammate.",state=RESOLVED | reason=grounded_reply | risk=medium | retrieval_top1=1.260 | domain=visa | decision=heuristic_fallback | reasons=risk_pattern_medium_billing,product_issue,0.6240,data/visa/cards/atm-pin-blocked.md,medium,false,en,[]
T0036,escalated,safety_review,"I cannot follow instructions that try to change how I handle support tickets. I'm flagging this for review by our team. If you have a legitimate support question, please send it as a normal request and a human teammate will respond shortly.","state=ESCALATED | reason=critical_prompt_injection_detected | risk=critical | injection_score=0.98 | retrieval_top1=1.045 | decision=heuristic_fallback | reasons=prompt_injection_critical,risk_injection_critical_0.98,scope_harmless",invalid,0.3475,,critical,false,en,"[{""action"": ""escalate_to_human"", ""parameters"": {""priority"": ""high"", ""queue"": ""trust_and_safety"", ""reason"": ""Suspected prompt injection / adversarial input.""}}, {""action"": ""create_internal_note"", ""parameters"": {""note"": ""Ticket flagged by automated safety layer for prompt-injection patterns."", ""tags"": [""suspected_injection""]}}]"
T0037,escalated,claude_general,This looks like a situation that needs a human review. I'm escalating to the appropriate team and they'll be in touch.,"state=ESCALATED | reason=high_risk_sensitive:pattern_high:compliance | risk=high | retrieval_top1=1.259 | domain=claude | decision=heuristic_fallback | reasons=risk_pattern_high_compliance,conversation_pressure_tactic",product_issue,0.5271,,high,false,en,"[{""action"": ""escalate_to_human"", ""parameters"": {""priority"": ""high"", ""queue"": ""tier3_legal"", ""reason"": ""Sensitive-topic high-risk ticket (legal/access/safety).""}}]"
T0038,escalated,safety_review,"I cannot follow instructions that try to change how I handle support tickets. I'm flagging this for review by our team. If you have a legitimate support question, please send it as a normal request and a human teammate will respond shortly.","state=ESCALATED | reason=critical_prompt_injection_detected | risk=critical | injection_score=1.00 | retrieval_top1=1.259 | domain=devplatform | decision=heuristic_fallback | reasons=prompt_injection_critical,risk_injection_critical_1.00",invalid,0.4174,,critical,false,de,"[{""action"": ""escalate_to_human"", ""parameters"": {""priority"": ""high"", ""queue"": ""trust_and_safety"", ""reason"": ""Suspected prompt injection / adversarial input.""}}, {""action"": ""create_internal_note"", ""parameters"": {""note"": ""Ticket flagged by automated safety layer for prompt-injection patterns."", ""tags"": [""suspected_injection""]}}]"
T0039,escalated,visa_general,This looks like a situation that needs a human review. I'm escalating to the appropriate team and they'll be in touch.,"state=ESCALATED | reason=consistency_anomaly:cross_ticket_reference,pressure_tactic | risk=medium | retrieval_top1=1.192 | domain=visa | decision=heuristic_fallback | reasons=pii_account_id,risk_pii_medium_value,conversation_cross_ticket_reference,conversation_pressure_tactic",product_issue,0.2541,,medium,true,en,"[{""action"": ""escalate_to_human"", ""parameters"": {""priority"": ""high"", ""queue"": ""trust_and_safety"", ""reason"": ""Multi-turn inconsistency / impersonation signals.""}}, {""action"": ""create_internal_note"", ""parameters"": {""note"": ""Consistency flags: cross_ticket_reference,pressure_tactic"", ""tags"": [""suspected_injection""]}}]"
T0040,replied,claude_assessment,"Here's the relevant guidance from our documentation:
Reporting a security vulnerability in Claude
runs a public security disclosure programme. To report a
suspected vulnerability:
1. Visit the security disclosure page on.com.
2. Submit a detailed report including: affected product, version,
reproduction steps, observed vs expected behavior, and impact.
3. Do not publish the vulnerability before our security team has
acknowledged and addressed it (responsible disclosure).
We aim to acknowledge submissions within 5 business days. Some
vulnerabilities are eligible for a bounty under our Bug Bounty
programme; the s
If this doesn't fully address your question, reply to this message and I'll route it to a human teammate.",state=RESOLVED | reason=grounded_reply | risk=low | retrieval_top1=0.931 | domain=devplatform | decision=heuristic_fallback,product_issue,0.6180,data/claude/security/report-vulnerability.md,low,false,en,[]
T0041,escalated,claude_general,This looks like a situation that needs a human review. I'm escalating to the appropriate team and they'll be in touch.,state=ESCALATED | reason=high_risk_sensitive:pattern_high:compliance | risk=high | retrieval_top1=1.270 | domain=claude | decision=heuristic_fallback | reasons=risk_pattern_high_compliance,product_issue,0.5882,,high,false,en,"[{""action"": ""escalate_to_human"", ""parameters"": {""priority"": ""high"", ""queue"": ""tier3_legal"", ""reason"": ""Sensitive-topic high-risk ticket (legal/access/safety).""}}]"
T0042,replied,claude_general,"Here's what our documentation says:
Conversation and workspace data isolation in Claude
Each Claude account has its own private conversation history. Other
users — including members of your workspace, family-shared Apple/Google
accounts, or other people who use the same browser profile after signing
out — cannot see your conversations.
What is NOT shared
- Personal conversation history between Claude accounts.
- Uploaded files between separate accounts.
- Project instructions or memories between accounts.
What IS shared (when you opt in)
- Conversations explicitly shared via the Share link feature.
- Files added
If this doesn't fully address your question, reply to this message and I'll route it to a human teammate.",state=RESOLVED | reason=grounded_reply | risk=low | retrieval_top1=1.267 | domain=claude | decision=heuristic_fallback,product_issue,0.6715,data/claude/privacy/workspace-data-isolation.md,low,false,en,[]
T0043,replied,visa_billing,"Based on the documented process, here's how this works:
Visa Zero Liability Policy
Visa's Zero Liability Policy protects cardholders from unauthorized
transactions where the cardholder is not at fault. The policy is
applied by the card-issuing bank, not by Visa directly.
What is covered
- Unauthorized signature transactions and online transactions where the
cardholder did not authorize the charge.
- Transactions reported promptly to the issuing bank.
What may NOT be covered
If this doesn't fully address your question, reply to this message and I'll route it to a human teammate.",state=RESOLVED | reason=grounded_reply | risk=high | retrieval_top1=1.266 | domain=visa | decision=heuristic_fallback | reasons=risk_pattern_high_billing,product_issue,0.5862,data/visa/disputes/zero-liability-policy.md,high,false,en,[]
